Venta registrada: Aceite 10W40 | Total: $17.00
Venta registrada: Filtro de aceite | Total: $18.00
Venta registrada: Bujía | Total: $22.50
Venta registrada: Refrigerante | Total: $14.00
Venta registrada: Limpiador de frenos | Total: $22.00
Venta registrada: Filtro de aire | Total: $27.00
Venta registrada: Aceite 10W40 | Total: $80.75
Venta registrada: Filtro de aceite | Total: $12.00
Venta registrada: Bujía | Total: $18.00
Venta registrada: Refrigerante | Total: $21.00
Ventas guardadas en ventas.csv
